key_0,lineloc,stage_filtered,z,underwater,z_normalized,nice_datetimes
2021-06-19 12:00:00,351.0,,315.43896935284357,0.0,0.49349820801927535,Jun 19
2021-06-19 15:00:00,,,,,,Jun 19
2021-06-19 18:00:00,343.0,,315.8182360451915,0.0,0.8727649003672013,Jun 19
2021-06-19 21:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 19
2021-06-20 00:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 20
2021-06-20 03:00:00,385.0,,313.82708591036493,0.0,-1.1183852344593674,Jun 20
2021-06-20 06:00:00,340.0,,315.96046105482196,0.0,1.0149899099976665,Jun 20
2021-06-20 09:00:00,341.0,,315.91305271827844,0.0,0.9675815734541402,Jun 20
2021-06-20 12:00:00,340.0,,315.96046105482196,0.0,1.0149899099976665,Jun 20
2021-06-20 15:00:00,,,,,,Jun 20
2021-06-20 18:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 20
2021-06-20 21:00:00,357.0,,315.15451933358264,0.0,0.20904818875834508,Jun 20
2021-06-21 00:00:00,365.0,,314.7752526412347,0.0,-0.1702185035895809,Jun 21
2021-06-21 03:00:00,347.0,,315.6286026990175,0.0,0.6831315541932099,Jun 21
2021-06-21 06:00:00,347.0,,315.6286026990175,0.0,0.6831315541932099,Jun 21
2021-06-21 09:00:00,340.0,,315.96046105482196,0.0,1.0149899099976665,Jun 21
2021-06-21 12:00:00,347.0,,315.6286026990175,0.0,0.6831315541932099,Jun 21
2021-06-21 15:00:00,,,,,,Jun 21
2021-06-21 18:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 21
2021-06-21 21:00:00,356.0,,315.2019276701261,0.0,0.2564565253018145,Jun 21
2021-06-22 00:00:00,366.0,,314.72784430469125,0.0,-0.21762684013305034,Jun 22
2021-06-22 03:00:00,365.0,,314.7752526412347,0.0,-0.1702185035895809,Jun 22
2021-06-22 06:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 22
2021-06-22 09:00:00,349.0,,315.53378602593057,0.0,0.5883148811062711,Jun 22
2021-06-22 12:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 22
2021-06-22 15:00:00,,,,,,Jun 22
2021-06-22 18:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 22
2021-06-22 21:00:00,395.0,,313.35300254493006,0.0,-1.5924685998942323,Jun 22
2021-06-23 00:00:00,369.0,,314.5856192950608,0.0,-0.3598518497635155,Jun 23
2021-06-23 03:00:00,395.0,,313.35300254493006,0.0,-1.5924685998942323,Jun 23
2021-06-23 06:00:00,395.0,,313.35300254493006,0.0,-1.5924685998942323,Jun 23
2021-06-23 09:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 23
2021-06-23 12:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 23
2021-06-23 15:00:00,,,,,,Jun 23
2021-06-23 18:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 23
2021-06-23 21:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 23
2021-06-24 00:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 24
2021-06-24 03:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jun 24
2021-06-24 06:00:00,355.0,,315.24933600666964,0.0,0.3038648618453408,Jun 24
2021-06-24 09:00:00,341.0,,315.91305271827844,0.0,0.9675815734541402,Jun 24
2021-06-24 12:00:00,342.0,,315.86564438173497,0.0,0.9201732369106708,Jun 24
2021-06-24 15:00:00,342.0,,315.86564438173497,0.0,0.9201732369106708,Jun 24
2021-06-24 18:00:00,370.0,0.133325,314.53821095851725,0.0,-0.40726018630704175,Jun 24
2021-06-24 21:00:00,355.0,0.3150875,315.24933600666964,0.0,0.3038648618453408,Jun 24
2021-06-25 00:00:00,333.0,0.583042857,316.29231941062636,0.0,1.3468482658020662,Jun 25
2021-06-25 03:00:00,323.0,0.5913375,316.7664027760613,0.0,1.8209316312369879,Jun 25
2021-06-25 06:00:00,328.0,0.5616,316.5293610933438,0.0,1.583889948519527,Jun 25
2021-06-25 09:00:00,332.0,0.4255875,316.3397277471699,0.0,1.3942566023455925,Jun 25
2021-06-25 12:00:00,,0.288454545,,,,Jun 25
2021-06-25 15:00:00,,0.185416667,,,,Jun 25
2021-06-25 18:00:00,360.0,0.162385714,315.0122943239522,0.0,0.06682317912787994,Jun 25
2021-06-25 21:00:00,360.0,0.17556,315.0122943239522,0.0,0.06682317912787994,Jun 25
2021-06-26 00:00:00,322.0,0.276942857,316.81381111260475,0.0,1.8683399677804573,Jun 26
2021-06-26 03:00:00,323.0,0.379257143,316.7664027760613,0.0,1.8209316312369879,Jun 26
